sl no,District,Block,School Name,UDISE Code
1,Chumoukedima,Dhansiripar,GHS Akahuto,13060100901
2,Chumoukedima,Dhansiripar,GPS Phushito,13060103301
3,Chumoukedima,Dhansiripar,GHS Dhansiripar,13060102002
4,Chumoukedima,Dhansiripar,GMS Amaluma,13060102502
5,Chumoukedima,Dhansiripar,GMS Dhansiripar,13060102007
6,Chumoukedima,Dhansiripar,GMS Diezephe,13060101802
7,Chumoukedima,Dhansiripar,GPS Khopanala,13060103501
8,Chumoukedima,Dhansiripar,GMS Doyapur,13060102102
9,Chumoukedima,Dhansiripar,GPS Doyapur,13060102101
10,Chumoukedima,Dhansiripar,GPS Ganeshnagar,13060100301
11,Chumoukedima,Dhansiripar,GMS Hazadisa,13060101202
12,Chumoukedima,Dhansiripar,GMS Khekiho,13060100602
13,Chumoukedima,Dhansiripar,GMS Kiyeto,13060101402
14,Chumoukedima,Dhansiripar,GMS Razhaphe,13060102702
15,Chumoukedima,Dhansiripar,GPS Razaphebasa,13060103101
16,Chumoukedima,Dhansiripar,GPS Khiamnok,13060302704
17,Chumoukedima,Dhansiripar,GHS Lhothavi,13060102302
18,Chumoukedima,Dhansiripar,GPS Ghowoto,13060102401
19,Chumoukedima,Dhansiripar,GPS Khekiye,13060100401
20,Chumoukedima,Dhansiripar,GPS Shikuto,13060103401
21,Chumoukedima,Dhansiripar,GMS Manglumukh,13060101102
22,Chumoukedima,Dhansiripar,GPS Daniel Hollohon,13060100501
23,Chumoukedima,Dhansiripar,GMS Shikavi,13060101002
24,Chumoukedima,Dhansiripar,GPS AK Industrial,13060103601
25,Chumoukedima,Dhansiripar,GPS Toshezu,13060100701
26,Chumoukedima,Dhansiripar,GMS Disaguphu,13060101302
27,Chumoukedima,Dhansiripar,GMS Shokhuvi,13060102803
28,Chumoukedima,Dhansiripar,GPS Shitovi,13060102602
29,Chumoukedima,Dhansiripar,GHSS Singrijan,13060100202
30,Chumoukedima,Dhansiripar,GMS Singrijan C,13060100102
31,Chumoukedima,Dhansiripar,GPS Seluophe,13060103201
32,Chumoukedima,Dhansiripar,GMS Murise,13060101603
33,Chumoukedima,Dhansiripar,GMS Tsithrongse,13060101702
34,Chumoukedima,Dhansiripar,GMS Bade,13060102204
35,Chumoukedima,Dhansiripar,GMS Urra,13060101504
