Grade ,Projects
School leaders,School leaders
Pre-Primary (A-B),"Pre-Primary Teacher (Grade A & B), Arts Teacher (A & B)"
1,"Literacy Teacher (Grade 1, 2 & 3), Numeracy Teacher (Grade 1, 2 & 3), Arts Teacher (Grade 1-5)"
2,"Literacy Teacher (Grade 1, 2 & 3), Numeracy Teacher (Grade 1, 2 & 3), Arts Teacher (Grade 1-5)"
3,"Literacy Teacher (Grade 1, 2 & 3), Numeracy Teacher (Grade 1, 2 & 3), Arts Teacher (Grade 1-5)"
4,"Math (4,5) English (4,5), Arts Teacher (Grade 1-5)"
5,"Math (4,5) English (4,5), Arts Teacher (Grade 1-5)"
6,"Math (6,7,8) and Science (6,7,8), Art edcuation (Grade 6-8)"
7,"Math (6,7,8) and Science (6,7,8), Art edcuation (Grade 6-8)"
8,"Math (6,7,8) and Science (6,7,8), Art edcuation (Grade 6-8)"
,
P.S Art projects will be made availabe for all Grades and for School learder only 1 project ,
