District,Block,School Name,UDISE Code
Chumoukedima,Dhansiripar,GHS Akahuto,13060100901
Chumoukedima,Dhansiripar,GPS Phushito,13060103301
Chumoukedima,Dhansiripar,GHS Dhansiripar,13060102002
Chumoukedima,Dhansiripar,GMS Amaluma,13060102502
Chumoukedima,Dhansiripar,GMS Dhansiripar,13060102007
Chumoukedima,Dhansiripar,GMS Diezephe,13060101802
Chumoukedima,Dhansiripar,GPS Khopanala,13060103501
Chumoukedima,Dhansiripar,GMS Doyapur,13060102102
Chumoukedima,Dhansiripar,GPS Doyapur,13060102101
Chumoukedima,Dhansiripar,GPS Ganeshnagar,13060100301
Chumoukedima,Dhansiripar,GMS Hazadisa,13060101202
Chumoukedima,Dhansiripar,GMS Khekiho,13060100602
Chumoukedima,Dhansiripar,GMS Kiyeto,13060101402
Chumoukedima,Dhansiripar,GMS Razhaphe,13060102702
Chumoukedima,Dhansiripar,GPS Razaphebasa,13060103101
Chumoukedima,Dhansiripar,GPS Khiamnok,13060302704
Chumoukedima,Dhansiripar,GHS Lhothavi,13060102302
Chumoukedima,Dhansiripar,GPS Ghowoto,13060102401
Chumoukedima,Dhansiripar,GPS Khekiye,13060100401
Chumoukedima,Dhansiripar,GPS Shikuto,13060103401
Chumoukedima,Dhansiripar,GMS Manglumukh,13060101102
Chumoukedima,Dhansiripar,GPS Daniel Hollohon,13060100501
Chumoukedima,Dhansiripar,GMS Shikavi,13060101002
Chumoukedima,Dhansiripar,GPS AK Industrial,13060103601
Chumoukedima,Dhansiripar,GPS Toshezu,13060100701
Chumoukedima,Dhansiripar,GMS Disaguphu,13060101302
Chumoukedima,Dhansiripar,GMS Shokhuvi,13060102803
Chumoukedima,Dhansiripar,GPS Shitovi,13060102602
Chumoukedima,Dhansiripar,GHSS Singrijan,13060100202
Chumoukedima,Dhansiripar,GMS Singrijan C,13060100102
Chumoukedima,Dhansiripar,GPS Seluophe,13060103201
Chumoukedima,Dhansiripar,GMS Murise,13060101603
Chumoukedima,Dhansiripar,GMS Tsithrongse,13060101702
Chumoukedima,Dhansiripar,GMS Bade,13060102204
Chumoukedima,Dhansiripar,GMS Urra,13060101504
Chumoukedima,Dhansiripar,GPS Bade Upper Khel,13060102205
Chumoukedima,Dhansiripar,GMS Pimla,13060100803
Chumoukedima,Dhansiripar,GMS Zutovi,13060101902
Chumoukedima,Dhansiripar,GPS Vihoshe,13060103001
Chumoukedima,Medziphema,GMS 7th Mile Village,13060301902
Chumoukedima,Medziphema,GPS 7th Mile Model Village,13060306101
Chumoukedima,Medziphema,GPS Sodzulhou,13060305401
Chumoukedima,Medziphema,GHS Chumoukedima Village,13060300302
Chumoukedima,Medziphema,GHSS Chumoukedima,13060300301
Chumoukedima,Medziphema,GPS Chumoukedima Village,13060300303
Chumoukedima,Medziphema,GMS Khaibung,13060303103
Chumoukedima,Medziphema,GPS Hekheshe,13060302302
Chumoukedima,Medziphema,GPS Zhuikhu,13060305002
Chumoukedima,Medziphema,GHS Maova,13060300803
Chumoukedima,Medziphema,GMS Tsuuma,13060302502
Chumoukedima,Medziphema,GPS Chathe,13060306301
Chumoukedima,Medziphema,GPS New Maova,13060302801
Chumoukedima,Medziphema,GHSS Medziphema,13060300601
Chumoukedima,Medziphema,GMS Medziphema Kuki,13060303702
Chumoukedima,Medziphema,GMS Medziphema Town,13060303802
Chumoukedima,Medziphema,GMS Medziphema Village,13060301803
Chumoukedima,Medziphema,GPS Agri Colony,13060305901
Chumoukedima,Medziphema,GHS Molvom,13060304701
Chumoukedima,Medziphema,GMS Jharnapani,13060303602
Chumoukedima,Medziphema,GMS Kukidolong,13060302403
Chumoukedima,Medziphema,GMS Molvom,13060304703
Chumoukedima,Medziphema,GPS Bungsang,13060302901
Chumoukedima,Medziphema,GPS Kupuhe,13060304301
Chumoukedima,Medziphema,GHS Naga United,13060300905
Chumoukedima,Medziphema,GMS Model Village 5Th Mile,13060301405
Chumoukedima,Medziphema,GMS Sugar Mill,13060304904
Chumoukedima,Medziphema,GHS Piphema,13060300402
Chumoukedima,Medziphema,GMS Piphema Bazar,13060304802
Chumoukedima,Medziphema,GPS Piphema Old,13060303401
Chumoukedima,Medziphema,GMS New Chumoukedima,13060304402
Chumoukedima,Medziphema,GMS Ruzaphema,13060300201
Chumoukedima,Medziphema,GPS New Chumu B,13060305802
Chumoukedima,Medziphema,GPS Paglapahar,13060305801
Chumoukedima,Medziphema,GPS Ruzaphema Block 3,13060300202
Chumoukedima,Medziphema,GMS Seithekema A,13060302103
Chumoukedima,Medziphema,GMS Seithekema Basa,13060302002
Chumoukedima,Medziphema,GMS Seithekema C,13060300502
Chumoukedima,Medziphema,GMS Seithekema Old,13060304603
Chumoukedima,Medziphema,GMS New Socunoma,13060305305
Chumoukedima,Medziphema,GMS Sirhima,13060303002
Chumoukedima,Medziphema,GPS Geljang,13060306501
Chumoukedima,Medziphema,GPS Peduzha,13060306201
Chumoukedima,Medziphema,GPS Sirhi Angami,13060302601
